var,	var,	var,	var,	pt2,	pt2,	pt2,	pt2
9.8k,	11.3k,	14.3k,	15.5k,	9.8k,	11.3k,	14.3k,	15.5k
-46.08675435,	-46.08680205,	-46.08689547,	-46.08693712,	-46.08718721,	-46.0871949,	-46.08720911,	-46.0872123
-45.96738622,	-45.96751123,	-45.96768709,	-45.96772491,	-45.96887546,	-45.96889977,	-45.96894531,	-45.96894543
-45.95727049,	-45.95736136,	-45.95756614,	-45.95760044,	-45.95875866,	-45.95877905,	-45.95882942,	-45.95883221
-45.94296333,	-45.94303802,	-45.94320258,	-45.94324497,	-45.94454705,	-45.94456901,	-45.94461453,	-45.94461896
-45.92558078,	-45.92562232,	-45.92571886,	-45.92573344,	-45.92650568,	-45.92651526,	-45.92654275,	-45.92654524
-45.92191593,	-45.92204754,	-45.92223697,	-45.92224733,	-45.92445815,	-45.92449421,	-45.92457392,	-45.92457631
-45.92099744,	-45.92112735,	-45.92129104,	-45.92130608,	-45.92331626,	-45.92336726,	-45.92342008,	-45.92342281
-45.91951763,	-45.91958471,	-45.91973431,	-45.91975893,	-45.92117948,	-45.92119979,	-45.92123213,	-45.9212351
-45.91544375,	-45.91554806,	-45.91570991,	-45.91572807,	-45.91739988,	-45.91743471,	-45.91748874,	-45.91749357
-45.9143644,	-45.91447267,	-45.91462148,	-45.91463206,	-45.91647553,	-45.9165016,	-45.9165596,	-45.91656272
-45.91111119,	-45.91119151,	-45.91132211,	-45.91133006,	-45.91277365,	-45.9127967,	-45.91282682,	-45.91282899
-45.90796953,	-45.90804378,	-45.90816676,	-45.90817191,	-45.90938657,	-45.90940381,	-45.90943153,	-45.90943218
-45.90653006,	-45.90660286,	-45.90674664,	-45.9067535,	-45.90800529,	-45.90801984,	-45.90806277,	-45.9080636
-45.90535553,	-45.90544067,	-45.90554542,	-45.90555488,	-45.90674871,	-45.90677512,	-45.90680762,	-45.90680907
-45.90349417,	-45.90358199,	-45.90368225,	-45.90369269,	-45.90494259,	-45.90496589,	-45.9049971,	-45.90499819
-45.90180679,	-45.90188228,	-45.90198653,	-45.90199335,	-45.90312656,	-45.9031443,	-45.90317053,	-45.90317164
-45.90168452,	-45.90175741,	-45.9018736,	-45.90188055,	-45.90301296,	-45.9030284,	-45.90306159,	-45.90306309
