var,	var,	var,	var,	var,	pt2,	pt2,	pt2,	pt2,	pt2
0.005	,0.004,	0.003,	0.002,	0.001,	0.005,	0.004,	0.003,	0.002,	0.001
-90.57527813,	-90.5753529,	-90.57539768,	-90.57545409,	-90.57547251,	-90.57549499,	-90.57550176,	-90.57550648,	-90.57551157,	-90.5755134
-90.50833467,	-90.50839739,	-90.50846016,	-90.50852325,	-90.50854019,	-90.50859303,	-90.50860087,	-90.50860761,	-90.50861464,	-90.50861647
-90.50776432,	-90.50783352,	-90.50788453,	-90.50794259,	-90.50796321,	-90.50799659,	-90.50800453,	-90.50801019,	-90.50801747,	-90.50802001
-90.50703621,	-90.50710989,	-90.50717464,	-90.50723107,	-90.50724668,	-90.50728647,	-90.50729512,	-90.50730172,	-90.50730818,	-90.50730991
-90.50669443,	-90.50675853,	-90.50682212,	-90.50687305,	-90.50689519,	-90.50693422,	-90.50694233,	-90.5069489,	-90.50695396,	-90.50695676
-90.44095101,	-90.44104847,	-90.44113444,	-90.44124541,	-90.44128816,	-90.44154658,	-90.44156,	    -90.44157138,	-90.4415908,	-90.44159645
-90.44066908,	-90.44076301,	-90.44085002,	-90.44095589,	-90.44099877,	-90.44122617,	-90.44123655,	-90.44124898,	-90.44126551,	-90.44127186
-90.44057622,	-90.44064827,	-90.44073949,	-90.44085522,	-90.4408978,	-90.44115052,	-90.44115924,	-90.44116988,	-90.44118498,	-90.4411933
-90.44049904,	-90.44057625,	-90.44065916,	-90.44077075,	-90.44081514,	-90.44102442,	-90.44103493,	-90.44104353,	-90.4410586,	-90.44106719
-90.44037614,	-90.44044917,	-90.44055791,	-90.44065955,	-90.44069712,	-90.44092925,	-90.44093844,	-90.44095221,	-90.44096702,	-90.44097168
-90.44024435,	-90.4403417,	-90.44042754,	-90.44052954,	-90.44056808,	-90.44082284,	-90.4408356,	-90.44084631,	-90.44086133,	-90.44086599
-90.44001368,	-90.44010606,	-90.44020008,	-90.44030953,	-90.4403495,	-90.4405395,	-90.4405514,	-90.44056335,	-90.44057744,	-90.4405842
-90.4399049	,   -90.43997458,	-90.44007651,	-90.44019088,	-90.44022241,	-90.44045429,	-90.44046194,	-90.44047477,	-90.44048995,	-90.44049429
-90.43963995,	-90.4397238,	-90.43981643,	-90.43992315,	-90.43996084,	-90.44015046,	-90.44016115,	-90.4401727,	-90.44018539,	-90.44019055
-90.43935891,	-90.43944098,	-90.43952775,	-90.43962178,	-90.43966387,	-90.43983793,	-90.43984885,	-90.43986082,	-90.43987375,	-90.43988003
-90.43912888,	-90.43921386,	-90.43930213,	-90.43939504,	-90.43943411,	-90.43958022,	-90.43959276,	-90.43960365,	-90.43961608,	-90.43962138
-90.43899593,	-90.43908083,	-90.43917318,	-90.43926484,	-90.4393029,	-90.43943449,	-90.43944578,	-90.43946044,	-90.43947323,	-90.43948066
-90.43895599,	-90.4390453,	-90.43913262,	-90.43923579,	-90.43927892,	-90.43942975,	-90.43943986,	-90.43944446,	-90.43946164,	-90.43946639
-90.43892222,	-90.43900315,	-90.43908189,	-90.43919901,	-90.43924161,	-90.43939974,	-90.43940998,	-90.43942,	    -90.43943315,	-90.43943915
-90.43886814,	-90.43895154,	-90.43903863,	-90.4391436,	-90.43918381,	-90.43931894,	-90.43933145,	-90.43934611,	-90.43935308,	-90.43935787
-90.43838395,	-90.43848405,	-90.43856431,	-90.43866033,	-90.43870031,	-90.43886058,	-90.43887138,	-90.43888473,	-90.43890018,	-90.43890518
-90.4383076,	-90.4383936	,   -90.43848396,	-90.43859046,	-90.43862663,	-90.43879427,	-90.43880437,	-90.43881853,	-90.4388321,	-90.43883654
-90.43816869,	-90.43825586,	-90.43834349,	-90.4384324,	-90.4384694,	-90.43860285,	-90.43861589,	-90.43862708,	-90.43863589,	-90.43864087
-90.43502833,	-90.43515846,	-90.43525275,	-90.4353572	,   -90.43539103,	-90.43562219,	-90.43564141,	-90.43565418,	-90.4356672,	-90.43567125
-90.43233355,	-90.43241494,	-90.43249028,	-90.43257761,	-90.43260622,	-90.43276555,	-90.43277659,	-90.43278723,	-90.43279898,	-90.43280371
-90.43204118,	-90.43210788,	-90.43217427,	-90.43225344,	-90.43227798,	-90.4323936,	-90.43240434,	-90.4324139,	-90.43242472,	-90.43242799
-90.43145821,	-90.43152534,	-90.43158666,	-90.43165422,	-90.4316745,	-90.43175875,	-90.43176666,	-90.43177642,	-90.43178525,	-90.43178778
-90.43113667,	-90.43122733,	-90.4312907,	-90.43135822,	-90.43138294,	-90.43148029,	-90.43149299,	-90.43150243,	-90.43151255,	-90.43151581
-90.43106102,	-90.4311618,	-90.43123842,	-90.4313312,	-90.43135743,	-90.43153344,	-90.43155065,	-90.43156283,	-90.43157645,	-90.43158011
-90.43099048,	-90.43109112,	-90.43115623,	-90.4312108,	-90.43123186,	-90.43131967,	-90.43133356,	-90.43134274,	-90.43134988,	-90.43135226
-90.42988182,	-90.4300052,	-90.43008976,	-90.43016926,	-90.43019362,	-90.43034662,	-90.43036581,	-90.43037664,	-90.43038675,	-90.43038964
